step,train_cost,train_acc,test_cost,test_acc,n_train
87,0.1476,0.9533,0.15,0.94,5000
88,0.1468,0.9517,0.1491,0.94,5000
89,0.1471,0.9506,0.1486,0.938,5000
90,0.1471,0.9498,0.1459,0.942,5000
91,0.1518,0.9519,0.1461,0.942,5000
92,0.1561,0.9494,0.1472,0.942,5000
93,0.1542,0.9508,0.1475,0.939,5000
94,0.1533,0.947,0.1473,0.939,5000
95,0.1549,0.9496,0.1471,0.939,5000
96,0.154,0.9513,0.147,0.938,5000
97,0.1369,0.9529,0.1467,0.938,5000
98,0.142,0.9567,0.1467,0.939,5000
99,0.1368,0.9547,0.1466,0.94,5000
100,0.1371,0.9567,0.1466,0.94,5000
1,1.0715,0.638,0.4924,0.842,10000
2,0.6057,0.7936,0.3677,0.8775,10000
3,0.4918,0.8339,0.2905,0.9075,10000
4,0.4524,0.846,0.2792,0.9025,10000
5,0.4071,0.8586,0.2513,0.92,10000
6,0.3757,0.8716,0.2302,0.927,10000
7,0.3476,0.8843,0.2109,0.935,10000
8,0.3453,0.884,0.2122,0.935,10000
9,0.3283,0.8891,0.1987,0.9395,10000
10,0.3221,0.896,0.2147,0.9325,10000
11,0.3233,0.8912,0.2181,0.928,10000
12,0.3017,0.899,0.2328,0.929,10000
13,0.2952,0.9008,0.1967,0.938,10000
14,0.2853,0.902,0.2203,0.928,10000
15,0.2857,0.907,0.2087,0.925,10000
16,0.2886,0.901,0.2036,0.9275,10000
17,0.2736,0.9067,0.1711,0.945,10000
18,0.2661,0.9124,0.1834,0.9385,10000
19,0.2594,0.9146,0.1631,0.945,10000
20,0.2602,0.9111,0.2,0.93,10000
21,0.2625,0.9121,0.212,0.93,10000
22,0.2503,0.9167,0.1835,0.937,10000
23,0.2473,0.9187,0.1804,0.94,10000
24,0.2467,0.9165,0.1622,0.947,10000
25,0.2433,0.9192,0.1516,0.9475,10000
26,0.2427,0.9195,0.1559,0.953,10000
27,0.233,0.92,0.1677,0.948,10000
28,0.2393,0.9211,0.2114,0.932,10000
29,0.2259,0.926,0.1565,0.9505,10000
30,0.2368,0.9244,0.1717,0.944,10000
31,0.2312,0.9209,0.1622,0.9515,10000
32,0.2298,0.9246,0.1618,0.953,10000
33,0.2121,0.9305,0.1724,0.9375,10000
34,0.2158,0.9274,0.1938,0.932,10000
35,0.2047,0.9297,0.1653,0.947,10000
36,0.2106,0.9295,0.1607,0.9465,10000
37,0.2084,0.9283,0.1546,0.951,10000
38,0.2034,0.9328,0.163,0.9425,10000
39,0.2031,0.9301,0.1759,0.936,10000
40,0.2083,0.9312,0.1291,0.9615,10000
41,0.207,0.9313,0.153,0.9475,10000
42,0.2014,0.9332,0.1581,0.9525,10000
43,0.1942,0.9336,0.1529,0.9505,10000
44,0.1871,0.9384,0.1458,0.951,10000
45,0.1912,0.936,0.1713,0.9435,10000
46,0.1879,0.9367,0.1739,0.9385,10000
47,0.1852,0.9354,0.165,0.9445,10000
48,0.1777,0.9406,0.146,0.9535,10000
49,0.1879,0.9368,0.1373,0.9575,10000
50,0.1698,0.9432,0.1418,0.9535,10000
51,0.174,0.9426,0.1378,0.957,10000
52,0.1782,0.9383,0.1442,0.9545,10000
53,0.175,0.9403,0.1283,0.9585,10000
54,0.1645,0.9427,0.1491,0.9495,10000
55,0.1672,0.9432,0.1293,0.964,10000
56,0.1755,0.9389,0.1466,0.9515,10000
57,0.1658,0.9428,0.1327,0.955,10000
58,0.1701,0.9415,0.121,0.958,10000
59,0.1657,0.9445,0.1296,0.9575,10000
60,0.1623,0.9446,0.1242,0.9605,10000
61,0.1534,0.9478,0.1246,0.9595,10000
62,0.161,0.9437,0.1262,0.962,10000
63,0.1601,0.9462,0.1303,0.964,10000
64,0.1539,0.9471,0.1194,0.963,10000
65,0.1558,0.9475,0.123,0.9605,10000
66,0.1496,0.9507,0.1198,0.9675,10000
67,0.1441,0.9515,0.1267,0.9615,10000
68,0.1436,0.9508,0.1157,0.962,10000
69,0.1513,0.9494,0.1205,0.962,10000
70,0.1471,0.9517,0.1116,0.968,10000
71,0.1407,0.9551,0.1157,0.965,10000
72,0.1374,0.9537,0.1225,0.963,10000
73,0.1465,0.9518,0.1304,0.961,10000
74,0.1395,0.9558,0.1149,0.961,10000
75,0.1394,0.9541,0.1216,0.957,10000
76,0.141,0.9522,0.1144,0.963,10000
77,0.1287,0.9587,0.1193,0.9615,10000
78,0.1299,0.9541,0.119,0.961,10000
79,0.1374,0.9552,0.1191,0.961,10000
80,0.1315,0.9561,0.1141,0.9635,10000
81,0.1334,0.9545,0.1139,0.965,10000
82,0.1294,0.9564,0.1164,0.965,10000
83,0.1304,0.9578,0.1174,0.964,10000
84,0.1317,0.9567,0.1217,0.9615,10000
85,0.1282,0.9559,0.1183,0.962,10000
86,0.124,0.9582,0.1126,0.963,10000
87,0.1305,0.9571,0.1106,0.964,10000
88,0.1302,0.9561,0.1152,0.961,10000
89,0.1261,0.958,0.1109,0.9645,10000
90,0.1297,0.956,0.1098,0.965,10000
91,0.1202,0.9634,0.111,0.9635,10000
92,0.1251,0.9576,0.1109,0.963,10000
93,0.1278,0.9561,0.1107,0.9645,10000
94,0.1271,0.9588,0.111,0.9635,10000
95,0.1266,0.9589,0.1103,0.964,10000
96,0.1215,0.9589,0.1104,0.9635,10000
97,0.1254,0.959,0.1103,0.964,10000
98,0.1208,0.9596,0.11,0.964,10000
99,0.1235,0.9592,0.1101,0.964,10000
100,0.1287,0.9571,0.1101,0.964,10000
1,0.8398,0.717,0.3334,0.8968,20000
2,0.465,0.8429,0.2906,0.8993,20000
3,0.4011,0.8645,0.2232,0.9248,20000
4,0.3599,0.879,0.2201,0.9283,20000
5,0.3323,0.8885,0.3046,0.8935,20000
6,0.317,0.8942,0.2314,0.9243,20000
7,0.3046,0.8979,0.1988,0.9333,20000
8,0.2982,0.8992,0.1899,0.9398,20000
9,0.273,0.9062,0.2094,0.929,20000
10,0.2793,0.9073,0.1806,0.9403,20000
11,0.2706,0.9107,0.2011,0.932,20000
12,0.2571,0.9171,0.1584,0.9483,20000
13,0.2466,0.9164,0.1577,0.9495,20000
14,0.2486,0.9181,0.2294,0.9245,20000
15,0.2456,0.9195,0.1903,0.9298,20000
16,0.2351,0.9222,0.1868,0.9348,20000
17,0.2339,0.9209,0.1691,0.9443,20000
18,0.2293,0.9219,0.1713,0.9445,20000
19,0.2235,0.9261,0.205,0.9315,20000
20,0.2167,0.929,0.1535,0.9485,20000
21,0.219,0.9274,0.1772,0.938,20000
22,0.216,0.927,0.1578,0.9455,20000
23,0.2194,0.9275,0.1566,0.946,20000
24,0.2064,0.9313,0.1679,0.9428,20000
25,0.2025,0.9326,0.1659,0.9435,20000
26,0.2037,0.9345,0.1474,0.951,20000
27,0.2019,0.931,0.1532,0.9513,20000
28,0.2004,0.9314,0.1388,0.9535,20000
29,0.1948,0.9334,0.1504,0.9473,20000
30,0.1935,0.9352,0.1557,0.946,20000
31,0.1916,0.9379,0.1603,0.944,20000
32,0.1849,0.9379,0.1675,0.9428,20000
33,0.186,0.9379,0.1423,0.949,20000
34,0.187,0.9384,0.1354,0.9578,20000
35,0.1749,0.942,0.1458,0.952,20000
36,0.1757,0.9428,0.132,0.9568,20000
37,0.1726,0.9428,0.1388,0.9505,20000
38,0.1747,0.9411,0.1398,0.9523,20000
39,0.1661,0.9455,0.1319,0.959,20000
40,0.1677,0.9436,0.1342,0.9588,20000
41,0.1664,0.9466,0.1328,0.958,20000
42,0.1718,0.943,0.1326,0.9578,20000
43,0.1678,0.9446,0.1267,0.9613,20000
44,0.1609,0.9468,0.1216,0.9615,20000
45,0.1574,0.9474,0.1239,0.9575,20000
46,0.1568,0.9474,0.1472,0.9485,20000
47,0.1562,0.9484,0.1139,0.9613,20000
48,0.156,0.9473,0.1247,0.9565,20000
49,0.1564,0.9473,0.1149,0.9628,20000
50,0.1516,0.9496,0.1121,0.9623,20000
51,0.1473,0.9521,0.1286,0.955,20000
52,0.15,0.9485,0.1475,0.9523,20000
53,0.1442,0.9534,0.1228,0.9565,20000
54,0.1469,0.9513,0.1147,0.961,20000
55,0.1378,0.9539,0.1088,0.9653,20000
56,0.1425,0.9521,0.119,0.9583,20000
57,0.1372,0.9534,0.1126,0.961,20000
58,0.1408,0.9522,0.1141,0.9628,20000
59,0.1331,0.9563,0.1214,0.961,20000
60,0.1342,0.9542,0.1196,0.9585,20000
61,0.1322,0.9577,0.1125,0.9605,20000
62,0.1314,0.9566,0.1165,0.9598,20000
63,0.1327,0.9582,0.1166,0.9623,20000
